id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
816442,The Book Thief,2013,3,"['Drama', 'War']",131,Usa,English,['Brian Percival'],"['Markus Zusak', 'Michael Petroni']","['Roger Allam', 'Sophie Nélisse', 'Heike Makatsch', 'Julian Lehmann', 'Gotthard Lange']",Fox 2000 Pictures,7.6,125322,19000000,76586316,53,57586316,3.03
816462,Conan the Barbarian,2011,8,"['Action', 'Adventure', 'Fantasy']",113,Usa,English,['Marcus Nispel'],"['Thomas Dean Donnelly', 'Joshua Oppenheimer']","['Jason Momoa', 'Stephen Lang', 'Rachel Nichols', 'Ron Perlman', 'Rose Mcgowan']",Lionsgate,5.2,94170,90000000,63523283,36,-26476717,-0.29
816539,Jack Brooks: Monster Slayer,2007,11,"['Action', 'Comedy', 'Horror']",85,Canada,English,['Jon Knautz'],"['Jon Knautz', 'Trevor Matthews']","['Robert Englund', 'Trevor Matthews', 'Daniel Kash', 'David Fox', 'Dean Hawes']",Brookstreet Pictures,5.9,5965,,,46,,
816545,Kabluey,2007,6,['Comedy'],86,Usa,English,['Scott Prendergast'],['Scott Prendergast'],"['Lisa Kudrow', 'Scott Prendergast', 'Christine Taylor', 'Conchata Ferrell', 'Jeffrey Dean Morgan']",Whitewater Films,6.6,4292,,96663,62,,
816692,Interstellar,2014,11,"['Adventure', 'Drama', 'Sci-Fi']",169,Usa,English,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['Ellen Burstyn', 'Matthew Mcconaughey', 'Mackenzie Foy', 'John Lithgow', 'Timothée Chalamet']",Paramount Pictures,8.6,1449256,165000000,696742056,74,531742056,3.22
816711,World War Z,2013,6,"['Action', 'Adventure', 'Horror']",116,Usa,English,['Marc Forster'],"['Matthew Michael Carnahan', 'Drew Goddard']","['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale', 'Ludi Boeken']",Paramount Pictures,7.0,590172,190000000,540007876,63,350007876,1.84
817177,Flipped,2010,9,"['Comedy', 'Drama', 'Romance']",90,Usa,English,['Rob Reiner'],"['Rob Reiner', 'Andrew Scheinman']","['Madeline Carroll', 'Callan Mcauliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney']",Castle Rock Entertainment,7.7,79816,14000000,4225921,45,-9774079,-0.7
817225,Milyang,2007,5,['Drama'],142,South Korea,Korean,['Chang-Dong Lee'],"['Chang-Dong Lee', 'Chung-Joon Lee']","['Do-Yeon Jeon', 'Kang-Ho Song', 'Hye-Jin Jang', 'Yeong-Jin Jo', 'Mi-Hyang Kim']",Cj Entertainment,7.5,6753,,11581469,84,,
817230,Valentine's Day,2010,3,"['Comedy', 'Romance']",125,Usa,English,['Garry Marshall'],"['Katherine Fugate', 'Katherine Fugate']","['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane']",New Line Cinema,5.7,112228,52000000,216485654,34,164485654,3.16
817538,Drillbit Taylor,2008,7,"['Action', 'Comedy', 'Crime']",110,Usa,English,['Steven Brill'],"['Kristofor Brown', 'Seth Rogen']","['Nate Hartley', 'Troy Gentile', 'Ian Roberts', 'Owen Wilson', 'Casey Boersma']",Paramount Pictures,5.7,57547,40000000,49944325,41,9944325,0.25
